"animal_type","month","year","intake_type","outcome_type","chip_status","time_at_shelter"
"CAT",9,2017,"STRAY","ADOPTION","UNABLE TO SCAN",9
"DOG",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",21
"DOG",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"CAT",11,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",7
"CAT",12,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"CAT",6,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",1,2017,"STRAY","ADOPTION","UNABLE TO SCAN",5
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",15
"DOG",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",9
"DOG",9,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",4
"DOG",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",4
"CAT",6,2017,"CONFISCATED","EUTHANIZED","SCAN NO CHIP",2
"DOG",3,2017,"OWNER SURRENDER","EUTHANIZED","UNABLE TO SCAN",0
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"CAT",5,2017,"STRAY","DIED","UNABLE TO SCAN",0
"DOG",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",9,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"WILDLIFE",3,2017,"STRAY","EUTHANIZED","UNABLE TO SCAN",0
"DOG",11,2016,"OWNER SURRENDER","EUTHANIZED","UNABLE TO SCAN",13
"DOG",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",14
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",14
"DOG",9,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"CAT",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",6
"WILDLIFE",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",8
"DOG",8,2017,"STRAY","ADOPTION","SCAN CHIP",5
"DOG",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",9,2017,"STRAY","DIED","SCAN NO CHIP",0
"DOG",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",14
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",5
"DOG",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",11
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",10,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",2
"CAT",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",11
"DOG",6,2017,"STRAY","ADOPTION","SCAN CHIP",2
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",12,2016,"STRAY","EUTHANIZED","UNABLE TO SCAN",3
"CAT",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",3
"DOG",7,2017,"STRAY","ADOPTION","SCAN CHIP",10
"CAT",6,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",10
"CAT",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"CAT",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",7
"CAT",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",16
"DOG",1,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",8
"DOG",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",9
"CAT",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",1
"DOG",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",11
"DOG",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",10,2016,"STRAY","RETURNED TO OWNER","UNABLE TO SCAN",1
"CAT",11,2016,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",7,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",13
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",8,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",4
"DOG",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",22
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",12
"DOG",6,2017,"STRAY","EUTHANIZED","SCAN CHIP",24
"DOG",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",13
"DOG",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",6
"CAT",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",10,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",1,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",6
"CAT",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",2,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"CAT",7,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",2
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",9
"DOG",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",7
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",19
"DOG",11,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",0
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
